id_number,diameter,test_psi,status_2017,test_date_2017,notes
17-32,2.5,250,P4,11/18/2017,
17-33,2.5,250,P4,11/18/2017,
17-34,2.5,250,P4,11/18/2017,
17-35,2.5,250,P4,11/18/2017,
17-36,2.5,250,P4,11/18/2017,
17-37,2.5,250,P4,11/18/2017,
17-38,2.5,250,P4,11/18/2017,
17-39,2.5,250,P3,11/19/2017,
17-40,2.5,250,P3,11/19/2017,
17-41,2.5,250,P3,11/19/2017,
17-42,2.5,250,P3,11/19/2017,
17-43,2.5,250,P3,11/19/2017,
17-44,2.5,250,P3,11/18/2017,
17-45,2.5,250,P3,11/18/2017,
17-46,2.5,250,P3,11/18/2017,
17-47,2.5,250,P3,11/18/2017,
17-48,2.5,250,P3,11/18/2017,
17-49,2.5,250,P3,11/18/2017,
17-50,2.5,250,P3,11/18/2017,
17-51,2.5,250,P3,11/18/2017,
17-52,2.5,250,P3,11/18/2017,
17-53,2.5,250,P3,11/18/2017,
17-54,2.5,250,P3,11/18/2017,
17-55,2.5,250,P3,11/18/2017,
17-56,2.5,250,P3,11/19/2017,
17-57,2.5,250,P3,11/19/2017,
17-58,2.5,250,P3,11/19/2017,
17-59,2.5,250,@ REPAIR,11/19/2017,
17-60,1.5,250,P3,11/19/2017,SOLD PASS
17-61,1.5,250,P3,11/19/2017,
17-62,1.5,250,P3,11/19/2017,
17-63,1.5,250,T6,12/10/2017,SOLD FAIL
17-64,1.5,250,P3,11/18/2017,
17-65,1.5,250,P3,11/18/2017,
17-66,1.5,250,P3,11/18/2017,
17-67,1.5,250,P3,11/18/2017,
17-68,1.5,250,P3,11/19/2017,SOLD FAIL
17-69,1.5,250,P4,11/19/2017,
17-70,1.5,250,P3,11/19/2017,
17-71,1.5,250,P3,11/18/2017,
17-72,1.5,250,P3,11/18/2017,SOLD PASS
17-73,1.5,250,G4,11/18/2017,
17-74,1.5,250,P3,11/18/2017,G
17-75,1.5,250,P3,11/18/2017,
17-76,2.5,250,G4,11/18/2017,
17-77,2.5,250,,11/26/2017,
17-78,3.0,250,,11/26/2017,SOLD PASS
17-79,1.5,250,G5,12/10/2017,
6-17,1.5,250,P2,11/19/2017,
7-68,1.5,250,P4,11/19/2017,
7-322,1.5,250,P2,11/19/2017,
7-679,1.5,250,P2,11/19/2017,
7-11,1.5,250,,11/26/2017,
7-13,2.5,250,,11/26/2017,
7-34,2.5,250,,11/26/2017,
7-35,2.5,250,,11/26/2017,
7-36,2.5,250,,11/26/2017,
7-37,1.5,250,,11/26/2017,
3-66,1.5,250,P2,11/18/2017,SOLD PASS
00-3,1.5,250,P2,11/19/2017,
00-4,1.5,250,,11/26/2017,
7-26,2.5,250,,11/26/2017,
9-11,1.5,250,P2,11/18/2017,
991250,2.5,250,,10/29/2017,
9-5,1.5,250,,10/29/2017,
991263,2.5,250,,10/29/2017,SOLD FAIL
991264,2.5,250,,10/29/2017,
17-01,1.5,250,P2,11/18/2017,
17-02,1.5,250,P2,11/18/2017,
17-03,1.5,250,P2,11/18/2017,
17-04,1.5,250,P2,11/18/2017,
17-05,1.5,250,P2,11/18/2017,
17-06,1.5,250,P2,11/18/2017,
17-07,1.5,250,P2,11/18/2017,SOLD PASS
17-08,1.5,250,P2,11/18/2017,
17-09,1.5,250,T6,11/18/2017,
17-10,1.5,250,P2,11/18/2017,
17-11,1.5,250,P2,11/18/2017,
17-12,1.5,250,P2,11/18/2017,
17-13,1.5,250,P2,11/18/2017,
17-14,1.5,250,P2,11/19/2017,
17-15,1.5,250,P4,11/18/2017,
17-16,1.5,250,P2,11/18/2017,
17-17,1.5,250,P4,11/19/2017,
17-18,1.5,250,P4,11/19/2017,NEW FAIL
17-19,1.5,250,G4,11/19/2017,
17-20,1.5,250,P4,11/26/2017,
17-21,1.5,250,P4,11/19/2017,
17-22,1.5,250,P4,11/19/2017,
17-23,1.5,250,P4,11/18/2017,
17-24,1.5,250,P4,11/18/2017,
17-25,1.5,250,T6,11/19/2017,PRACTICE
17-26,2.5,250,P4,11/19/2017,
17-27,1.5,250,P4,11/19/2017,
17-28,1.5,250,@ REPAIR,11/19/2017,
17-29,2.5,250,P4,11/19/2017,
30,99-6,1.5,250,P4,11/18/2017,
31,99-8,1.5,250,,11/19/2017,
32,CFD-0119,2.5,250,,10/29/2017,
33,CFD-039,2.5,250,,10/29/2017,
34,CFD-043,2.5,250,,10/29/2017,
35,CFD-016,2.5,250,,10/29/2017,
36,CFD-014,2.5,250,,10/29/2017,
37,CFD-059,2.5,250,,10/29/2017,
38,CFD-076,2.5,250,,10/29/2017,
39,01-302,2.5,250,,11/26/2017,
40,03-301,2.5,250,,12/10/2017,
41,01-307,2.5,250,,12/10/2017,
10,FH2SF-50-7,2.5,250,,11/26/2017,
11,FH2SF-50-16,2.5,250,,11/26/2017,
12,FH2SF-50-18,2.5,250,,11/26/2017,
19,FH2SF-50-21,2.5,250,,11/26/2017,
20,FH2SF-50-24,2.5,250,G1,12/10/2017,
22,FH2SF-50-6,2.5,250,,11/26/2017,
23,FH-731,2.5,250,,12/10/2017,
01-03-04,,,PASS,,SPARE (handwritten note)
99-11,,,PASS,6/5/2024,SPARE (handwritten note)
17-77,,,FAIL,6/5/2024,SPARE (handwritten note)
20-20,,,PASS,6/5/2024,SPARE (handwritten note)
10-3,,,PASS,6/5/2024,SPARE (handwritten note)
